Close,Date,High,Low,Open,Volume
1.11424,2015-09-07T03:00:00.000000000Z,1.11569,1.11412,1.11524,1121
1.11383,2015-09-07T05:00:00.000000000Z,1.11497,1.11216,1.11421,2535
1.11625,2015-09-07T07:00:00.000000000Z,1.11647,1.11312,1.11386,3951
1.11498,2015-09-07T09:00:00.000000000Z,1.11777,1.11491,1.11623,3076
1.1148,2015-09-07T11:00:00.000000000Z,1.11532,1.11388,1.11494,2371
1.11613,2015-09-07T13:00:00.000000000Z,1.11683,1.11474,1.11477,1642
1.11692,2015-09-07T15:00:00.000000000Z,1.11732,1.11545,1.1161,1370
1.11711,2015-09-07T17:00:00.000000000Z,1.11716,1.11657,1.11692,223
1.11454,2015-09-06T21:00:00.000000000Z,1.11641,1.11428,1.11632,779
1.11664,2015-09-06T23:00:00.000000000Z,1.11745,1.11424,1.11456,2275
1.11529,2015-09-07T01:00:00.000000000Z,1.11693,1.11465,1.11666,2102
1.11424,2015-09-07T03:00:00.000000000Z,1.11569,1.11412,1.11524,1121
1.11383,2015-09-07T05:00:00.000000000Z,1.11497,1.11216,1.11421,2535
1.11625,2015-09-07T07:00:00.000000000Z,1.11647,1.11312,1.11386,3951
1.11498,2015-09-07T09:00:00.000000000Z,1.11777,1.11491,1.11623,3076
1.1148,2015-09-07T11:00:00.000000000Z,1.11532,1.11388,1.11494,2371
1.11613,2015-09-07T13:00:00.000000000Z,1.11683,1.11474,1.11477,1642
1.11692,2015-09-07T15:00:00.000000000Z,1.11732,1.11545,1.1161,1370
1.11711,2015-09-07T17:00:00.000000000Z,1.11716,1.11657,1.11692,223
1.11703,2015-09-07T19:00:00.000000000Z,1.11724,1.11641,1.11708,841
1.11711,2015-09-07T21:00:00.000000000Z,1.11739,1.11658,1.117,746
1.11656,2015-09-07T23:00:00.000000000Z,1.11708,1.1153,1.11708,852
1.11657,2015-09-08T01:00:00.000000000Z,1.11718,1.11606,1.11654,1542
1.12115,2015-09-08T03:00:00.000000000Z,1.12235,1.11614,1.11656,3040
1.11999,2015-09-08T05:00:00.000000000Z,1.12295,1.11953,1.12113,4056
1.11832,2015-09-08T07:00:00.000000000Z,1.11997,1.11711,1.11996,4488
1.11563,2015-09-08T09:00:00.000000000Z,1.11876,1.11526,1.11837,3024
1.11737,2015-09-08T11:00:00.000000000Z,1.11768,1.11543,1.11563,2521
1.1148,2015-09-07T11:00:00.000000000Z,1.11532,1.11388,1.11494,2371
1.11613,2015-09-07T13:00:00.000000000Z,1.11683,1.11474,1.11477,1642
1.11692,2015-09-07T15:00:00.000000000Z,1.11732,1.11545,1.1161,1370
1.11711,2015-09-07T17:00:00.000000000Z,1.11716,1.11657,1.11692,223
1.11703,2015-09-07T19:00:00.000000000Z,1.11724,1.11641,1.11708,841
1.11711,2015-09-07T21:00:00.000000000Z,1.11739,1.11658,1.117,746
1.11656,2015-09-07T23:00:00.000000000Z,1.11708,1.1153,1.11708,852
1.11657,2015-09-08T01:00:00.000000000Z,1.11718,1.11606,1.11654,1542
1.12115,2015-09-08T03:00:00.000000000Z,1.12235,1.11614,1.11656,3040
1.11999,2015-09-08T05:00:00.000000000Z,1.12295,1.11953,1.12113,4056
1.11832,2015-09-08T07:00:00.000000000Z,1.11997,1.11711,1.11996,4488
1.11563,2015-09-08T09:00:00.000000000Z,1.11876,1.11526,1.11837,3024
1.11737,2015-09-08T11:00:00.000000000Z,1.11768,1.11543,1.11563,2521
1.11799,2015-09-08T13:00:00.000000000Z,1.11973,1.11695,1.1174,3955
1.11838,2015-09-08T15:00:00.000000000Z,1.11893,1.11719,1.11801,2391
1.11854,2015-09-08T17:00:00.000000000Z,1.11877,1.11669,1.11838,1691
